set_id,card_number,card_name_en
M2,001/080,Oddish
M2,002/080,Gloom
M2,003/080,Vileplume
M2,004/080,Mega Heracross
M2,005/080,Lotad
M2,006/080,Lombre
M2,007/080,Ludicolo
M2,008/080,Genesect
M2,009/080,Nymble
M2,010/080,Lokix
M2,011/080,Charmander
M2,012/080,Charmeleon
M2,013/080,Mega Charizard X
M2,014/080,Moltres
M2,015/080,Darumaka
M2,016/080,Darmanitan
M2,017/080,Reshiram
M2,018/080,Oricorio
M2,019/080,Charcadet
M2,020/080,Ceruledge
M2,021/080,Seel
M2,022/080,Dewgong
M2,023/080,Swinub
M2,024/080,Piloswine
M2,025/080,Mamoswine
M2,026/080,Suicune
M2,027/080,Piplup
M2,028/080,Prinplup
M2,029/080,Rotom
M2,030/080,Yamper
M2,031/080,Boltund
M2,032/080,Pawmi
M2,033/080,Pawmo
M2,034/080,Pawmot
M2,035/080,Misdreavus
M2,036/080,Mismagius
M2,037/080,Cottonee
M2,038/080,Whimsicott
M2,039/080,Zacian
M2,040/080,Bramblin
M2,041/080,Brambleghast
M2,042/080,Paldean Tauros
M2,043/080,Gligar
M2,044/080,Gliscor
M2,045/080,Trapinch
M2,046/080,Vibrava
M2,047/080,Flygon
M2,048/080,Sneasel
M2,049/080,Weavile
M2,050/080,Carvanha
M2,051/080,Mega Sharpedo
M2,052/080,Seviper
M2,053/080,Sandile
M2,054/080,Krokorok
M2,055/080,Krookodile
M2,056/080,Toxel
M2,057/080,Toxtricity
M2,058/080,Empoleon
M2,059/080,Bronzor
M2,060/080,Bronzong
M2,061/080,Togedemaru
M2,062/080,Duraludon
M2,063/080,Archaludon
M2,064/080,Jigglypuff
M2,065/080,Wigglytuff
M2,066/080,Aipom
M2,067/080,Ambipom
M2,068/080,Smeargle
M2,069/080,Zigzagoon
M2,070/080,Linoone
M2,071/080,Buneary
M2,072/080,Mega Lopunny
M2,073/080,Jumbo Ice Cream
M2,074/080,Blowtorch
M2,075/080,Sacred Charm
M2,076/080,Grimsley's Move
M2,077/080,Dawn
M2,078/080,Firebreather
M2,079/080,Battle Cage
M2,080/080,Dizzying Valley
M2,081/080,Ludicolo
M2,082/080,Nymble
M2,083/080,Charcadet
M2,084/080,Dewgong
M2,085/080,Piplup
M2,086/080,Yamper
M2,087/080,Zacian
M2,088/080,Flygon
M2,089/080,Toxtricity
M2,090/080,Togedemaru
M2,091/080,Wigglytuff
M2,092/080,Ambipom
M2,093/080,Mega Heracross
M2,094/080,Mega Charizard X
M2,095/080,Oricorio
M2,096/080,Rotom
M2,097/080,Mismagius
M2,098/080,Mega Sharpedo
M2,099/080,Empoleon
M2,100/080,Mega Lopunny
M2,101/080,Blowtorch
M2,102/080,Switch
M2,103/080,Sacred Charm
M2,104/080,Punk Helmet
M2,105/080,Grimsley's Move
M2,106/080,Dawn
M2,107/080,Firebreather
M2,108/080,Battle Cage
M2,109/080,Ignition Energy
M2,110/080,Mega Charizard X
M2,111/080,Oricorio
M2,112/080,Rotom
M2,113/080,Mega Sharpedo
M2,114/080,Mega Lopunny
M2,115/080,Dawn
M2,116/080,Mega Charizard X
