national_number,gen,english_name
1,1,Bulbasaur
2,1,Ivysaur
3,1,Venusaur
4,1,Charmander
5,1,Charmeleon
6,1,Charizard
7,1,Squirtle
8,1,Wartortle
9,1,Blastoise
10,1,Caterpie
11,1,Metapod
12,1,Butterfree
13,1,Weedle
14,1,Kakuna
15,1,Beedrill
16,1,Pidgey
17,1,Pidgeotto
18,1,Pidgeot
19,1,Rattata
20,1,Raticate
21,1,Spearow
22,1,Fearow
23,1,Ekans
24,1,Arbok
25,1,Pikachu
26,1,Raichu
27,1,Sandshrew
28,1,Sandslash
29,1,Nidoran(f)
30,1,Nidorina
31,1,Nidoqueen
32,1,Nidoran(m)
33,1,Nidorino
34,1,Nidoking
35,1,Clefairy
36,1,Clefable
37,1,Vulpix
38,1,Ninetales
39,1,Jigglypuff
40,1,Wigglytuff
41,1,Zubat
42,1,Golbat
43,1,Oddish
44,1,Gloom
45,1,Vileplume
46,1,Paras
47,1,Parasect
48,1,Venonat
49,1,Venomoth
50,1,Diglett
51,1,Dugtrio
52,1,Meowth
53,1,Persian
54,1,Psyduck
55,1,Golduck
56,1,Mankey
57,1,Primeape
58,1,Growlithe
59,1,Arcanine
60,1,Poliwag
61,1,Poliwhirl
62,1,Poliwrath
63,1,Abra
64,1,Kadabra
65,1,Alakazam
66,1,Machop
67,1,Machoke
68,1,Machamp
69,1,Bellsprout
70,1,Weepinbell
71,1,Victreebel
72,1,Tentacool
73,1,Tentacruel
74,1,Geodude
75,1,Graveler
76,1,Golem
77,1,Ponyta
78,1,Rapidash
79,1,Slowpoke
80,1,Slowbro
81,1,Magnemite
82,1,Magneton
83,1,Farfetch'd
84,1,Doduo
85,1,Dodrio
86,1,Seel
87,1,Dewgong
88,1,Grimer
89,1,Muk
90,1,Shellder
91,1,Cloyster
92,1,Gastly
93,1,Haunter
94,1,Gengar
95,1,Onix
96,1,Drowzee
97,1,Hypno
98,1,Krabby
99,1,Kingler
100,1,Voltorb
101,1,Electrode
102,1,Exeggcute
103,1,Exeggutor
104,1,Cubone
105,1,Marowak
106,1,Hitmonlee
107,1,Hitmonchan
108,1,Lickitung
109,1,Koffing
110,1,Weezing
111,1,Rhyhorn
112,1,Rhydon
113,1,Chansey
114,1,Tangela
115,1,Kangaskhan
116,1,Horsea
117,1,Seadra
118,1,Goldeen
119,1,Seaking
120,1,Staryu
121,1,Starmie
122,1,Mr. Mime
123,1,Scyther
124,1,Jynx
125,1,Electabuzz
126,1,Magmar
127,1,Pinsir
128,1,Tauros
129,1,Magikarp
130,1,Gyarados
131,1,Lapras
132,1,Ditto
133,1,Eevee
134,1,Vaporeon
135,1,Jolteon
136,1,Flareon
137,1,Porygon
138,1,Omanyte
139,1,Omastar
140,1,Kabuto
141,1,Kabutops
142,1,Aerodactyl
143,1,Snorlax
144,1,Articuno
145,1,Zapdos
146,1,Moltres
147,1,Dratini
148,1,Dragonair
149,1,Dragonite
150,1,Mewtwo
151,1,Mew
152,2,Chikorita
153,2,Bayleef
154,2,Meganium
155,2,Cyndaquil
156,2,Quilava
157,2,Typhlosion
158,2,Totodile
159,2,Croconaw
160,2,Feraligatr
161,2,Sentret
162,2,Furret
163,2,Hoothoot
164,2,Noctowl
165,2,Ledyba
166,2,Ledian
167,2,Spinarak
168,2,Ariados
169,2,Crobat
170,2,Chinchou
171,2,Lanturn
172,2,Pichu
173,2,Cleffa
174,2,Igglybuff
175,2,Togepi
176,2,Togetic
177,2,Natu
178,2,Xatu
179,2,Mareep
180,2,Flaaffy
181,2,Ampharos
182,2,Bellossom
183,2,Marill
184,2,Azumarill
185,2,Sudowoodo
186,2,Politoed
187,2,Hoppip
188,2,Skiploom
189,2,Jumpluff
190,2,Aipom
191,2,Sunkern
192,2,Sunflora
193,2,Yanma
194,2,Wooper
195,2,Quagsire
196,2,Espeon
197,2,Umbreon
198,2,Murkrow
199,2,Slowking
200,2,Misdreavus
201,2,Unown
202,2,Wobbuffet
203,2,Girafarig
204,2,Pineco
205,2,Forretress
206,2,Dunsparce
207,2,Gligar
208,2,Steelix
209,2,Snubbull
210,2,Granbull
211,2,Qwilfish
212,2,Scizor
213,2,Shuckle
214,2,Heracross
215,2,Sneasel
216,2,Teddiursa
217,2,Ursaring
218,2,Slugma
219,2,Magcargo
220,2,Swinub
221,2,Piloswine
222,2,Corsola
223,2,Remoraid
224,2,Octillery
225,2,Delibird
226,2,Mantine
227,2,Skarmory
228,2,Houndour
229,2,Houndoom
230,2,Kingdra
231,2,Phanpy
232,2,Donphan
233,2,Porygon2
234,2,Stantler
235,2,Smeargle
236,2,Tyrogue
237,2,Hitmontop
238,2,Smoochum
239,2,Elekid
240,2,Magby
241,2,Miltank
242,2,Blissey
243,2,Raikou
244,2,Entei
245,2,Suicune
246,2,Larvitar
247,2,Pupitar
248,2,Tyranitar
249,2,Lugia
250,2,Ho-Oh
251,2,Celebi
252,3,Treecko
253,3,Grovyle
254,3,Sceptile
255,3,Torchic
256,3,Combusken
257,3,Blaziken
258,3,Mudkip
259,3,Marshtomp
260,3,Swampert
261,3,Poochyena
262,3,Mightyena
263,3,Zigzagoon
264,3,Linoone
265,3,Wurmple
266,3,Silcoon
267,3,Beautifly
268,3,Cascoon
269,3,Dustox
270,3,Lotad
271,3,Lombre
272,3,Ludicolo
273,3,Seedot
274,3,Nuzleaf
275,3,Shiftry
276,3,Taillow
277,3,Swellow
278,3,Wingull
279,3,Pelipper
280,3,Ralts
281,3,Kirlia
282,3,Gardevoir
283,3,Surskit
284,3,Masquerain
285,3,Shroomish
286,3,Breloom
287,3,Slakoth
288,3,Vigoroth
289,3,Slaking
290,3,Nincada
291,3,Ninjask
292,3,Shedinja
293,3,Whismur
294,3,Loudred
295,3,Exploud
296,3,Makuhita
297,3,Hariyama
298,3,Azurill
299,3,Nosepass
300,3,Skitty
301,3,Delcatty
302,3,Sableye
303,3,Mawile
304,3,Aron
305,3,Lairon
306,3,Aggron
307,3,Meditite
308,3,Medicham
309,3,Electrike
310,3,Manectric
311,3,Plusle
312,3,Minun
313,3,Volbeat
314,3,Illumise
315,3,Roselia
316,3,Gulpin
317,3,Swalot
318,3,Carvanha
319,3,Sharpedo
320,3,Wailmer
321,3,Wailord
322,3,Numel
323,3,Camerupt
324,3,Torkoal
325,3,Spoink
326,3,Grumpig
327,3,Spinda
328,3,Trapinch
329,3,Vibrava
330,3,Flygon
331,3,Cacnea
332,3,Cacturne
333,3,Swablu
334,3,Altaria
335,3,Zangoose
336,3,Seviper
337,3,Lunatone
338,3,Solrock
339,3,Barboach
340,3,Whiscash
341,3,Corphish
342,3,Crawdaunt
343,3,Baltoy
344,3,Claydol
345,3,Lileep
346,3,Cradily
347,3,Anorith
348,3,Armaldo
349,3,Feebas
350,3,Milotic
351,3,Castform
352,3,Kecleon
353,3,Shuppet
354,3,Banette
355,3,Duskull
356,3,Dusclops
357,3,Tropius
358,3,Chimecho
359,3,Absol
360,3,Wynaut
361,3,Snorunt
362,3,Glalie
363,3,Spheal
364,3,Sealeo
365,3,Walrein
366,3,Clamperl
367,3,Huntail
368,3,Gorebyss
369,3,Relicanth
370,3,Luvdisc
371,3,Bagon
372,3,Shelgon
373,3,Salamence
374,3,Beldum
375,3,Metang
376,3,Metagross
377,3,Regirock
378,3,Regice
379,3,Registeel
380,3,Latias
381,3,Latios
382,3,Kyogre
383,3,Groudon
384,3,Rayquaza
385,3,Jirachi
386,3,Deoxys
387,4,Turtwig
388,4,Grotle
389,4,Torterra
390,4,Chimchar
391,4,Monferno
392,4,Infernape
393,4,Piplup
394,4,Prinplup
395,4,Empoleon
396,4,Starly
397,4,Staravia
398,4,Staraptor
399,4,Bidoof
400,4,Bibarel
401,4,Kricketot
402,4,Kricketune
403,4,Shinx
404,4,Luxio
405,4,Luxray
406,4,Budew
407,4,Roserade
408,4,Cranidos
409,4,Rampardos
410,4,Shieldon
411,4,Bastiodon
412,4,Burmy
413,4,Wormadam
414,4,Mothim
415,4,Combee
416,4,Vespiquen
417,4,Pachirisu
418,4,Buizel
419,4,Floatzel
420,4,Cherubi
421,4,Cherrim
422,4,Shellos
423,4,Gastrodon
424,4,Ambipom
425,4,Drifloon
426,4,Drifblim
427,4,Buneary
428,4,Lopunny
429,4,Mismagius
430,4,Honchkrow
431,4,Glameow
432,4,Purugly
433,4,Chingling
434,4,Stunky
435,4,Skuntank
436,4,Bronzor
437,4,Bronzong
438,4,Bonsly
439,4,Mime Jr.
440,4,Happiny
441,4,Chatot
442,4,Spiritomb
443,4,Gible
444,4,Gabite
445,4,Garchomp
446,4,Munchlax
447,4,Riolu
448,4,Lucario
449,4,Hippopotas
450,4,Hippowdon
451,4,Skorupi
452,4,Drapion
453,4,Croagunk
454,4,Toxicroak
455,4,Carnivine
456,4,Finneon
457,4,Lumineon
458,4,Mantyke
459,4,Snover
460,4,Abomasnow
461,4,Weavile
462,4,Magnezone
463,4,Lickilicky
464,4,Rhyperior
465,4,Tangrowth
466,4,Electivire
467,4,Magmortar
468,4,Togekiss
469,4,Yanmega
470,4,Leafeon
471,4,Glaceon
472,4,Gliscor
473,4,Mamoswine
474,4,Porygon-Z
475,4,Gallade
476,4,Probopass
477,4,Dusknoir
478,4,Froslass
479,4,Rotom
480,4,Uxie
481,4,Mesprit
482,4,Azelf
483,4,Dialga
484,4,Palkia
485,4,Heatran
486,4,Regigigas
487,4,Giratina
488,4,Cresselia
489,4,Phione
490,4,Manaphy
491,4,Darkrai
492,4,Shaymin
493,4,Arceus
494,5,Victini
495,5,Snivy
496,5,Servine
