Card Number,Card Name (EN),Pokemon Name (EN)
001/080,Oddish,Oddish
002/080,Gloom,Gloom
003/080,Vileplume,Vileplume
004/080,Mega Heracross,Heracross
005/080,Lotad,Lotad
006/080,Lombre,Lombre
007/080,Ludicolo,Ludicolo
008/080,Genesect,Genesect
009/080,Nymble,Nymble
010/080,Lokix,Lokix
011/080,Charmander,Charmander
012/080,Charmeleon,Charmeleon
013/080,Mega Charizard X,Charizard
014/080,Moltres,Moltres
015/080,Darumaka,Darumaka
016/080,Darmanitan,Darmanitan
017/080,Reshiram,Reshiram
018/080,Oricorio,Oricorio
019/080,Charcadet,Charcadet
020/080,Ceruledge,Ceruledge
021/080,Seel,Seel
022/080,Dewgong,Dewgong
023/080,Swinub,Swinub
024/080,Piloswine,Piloswine
025/080,Mamoswine,Mamoswine
026/080,Suicune,Suicune
027/080,Piplup,Piplup
028/080,Prinplup,Prinplup
029/080,Rotom,Rotom
030/080,Yamper,Yamper
031/080,Boltund,Boltund
032/080,Pawmi,Pawmi
033/080,Pawmo,Pawmo
034/080,Pawmot,Pawmot
035/080,Misdreavus,Misdreavus
036/080,Mismagius,Mismagius
037/080,Cottonee,Cottonee
038/080,Whimsicott,Whimsicott
039/080,Zacian,Zacian
040/080,Bramblin,Bramblin
041/080,Brambleghast,Brambleghast
042/080,Paldean Tauros,Tauros
043/080,Gligar,Gligar
044/080,Gliscor,Gliscor
045/080,Trapinch,Trapinch
046/080,Vibrava,Vibrava
047/080,Flygon,Flygon
048/080,Sneasel,Sneasel
049/080,Weavile,Weavile
050/080,Carvanha,Carvanha
051/080,Mega Sharpedo,Sharpedo
052/080,Seviper,Seviper
053/080,Sandile,Sandile
054/080,Krokorok,Krokorok
055/080,Krookodile,Krookodile
056/080,Toxel,Toxel
057/080,Toxtricity,Toxtricity
058/080,Empoleon,Empoleon
059/080,Bronzor,Bronzor
060/080,Bronzong,Bronzong
061/080,Togedemaru,Togedemaru
062/080,Duraludon,Duraludon
063/080,Archaludon,Archaludon
064/080,Jigglypuff,Jigglypuff
065/080,Wigglytuff,Wigglytuff
066/080,Aipom,Aipom
067/080,Ambipom,Ambipom
068/080,Smeargle,Smeargle
069/080,Zigzagoon,Zigzagoon
070/080,Linoone,Linoone
071/080,Buneary,Buneary
072/080,Mega Lopunny,Lopunny
073/080,Jumbo Ice Cream,
074/080,Blowtorch,
075/080,Sacred Charm,
076/080,Grimsley's Move,
077/080,Dawn,
078/080,Firebreather,
079/080,Battle Cage,
080/080,Dizzying Valley,
081/080,Ludicolo,Ludicolo
082/080,Nymble,Nymble
083/080,Charcadet,Charcadet
084/080,Dewgong,Dewgong
085/080,Piplup,Piplup
086/080,Yamper,Yamper
087/080,Zacian,Zacian
088/080,Flygon,Flygon
089/080,Toxtricity,Toxtricity
090/080,Togedemaru,Togedemaru
091/080,Wigglytuff,Wigglytuff
092/080,Ambipom,Ambipom
093/080,Mega Heracross,Heracross
094/080,Mega Charizard X,Charizard
095/080,Oricorio,Oricorio
096/080,Rotom,Rotom
097/080,Mismagius,Mismagius
098/080,Mega Sharpedo,Sharpedo
099/080,Empoleon,Empoleon
100/080,Mega Lopunny,Lopunny
101/080,Blowtorch,
102/080,Switch,
103/080,Sacred Charm,
104/080,Punk Helmet,
105/080,Grimsley's Move,
106/080,Dawn,
107/080,Firebreather,
108/080,Battle Cage,
109/080,Ignition Energy,
110/080,Mega Charizard X,Charizard
111/080,Oricorio,Oricorio
112/080,Rotom,Rotom
113/080,Mega Sharpedo,Sharpedo
114/080,Mega Lopunny,Lopunny
115/080,Dawn,
116/080,Mega Charizard X,Charizard
